YEAR,MONTH,PRODUCT,VALUE
2014,1,Hydro,3903.977
2014,1,Wind,5.648
2014,1,Solar,1.065
2014,1,Total combustible fuels,1792.024
2014,1,Coal,521.938
2014,1,Oil,139.219
2014,1,Natural gas,1031.146
2014,1,Combustible renewables,99.721
2014,1,Net electricity production,5702.714
2014,1,Total imports,0.021
2014,1,Total exports,146.888
2014,1,Electricity supplied,5555.847
2014,1,Distribution losses,536.164
2014,1,Final consumption,5019.684
2014,1,Electricity trade,146.867
2014,1,Renewables,4010.411
2014,1,Non-renewables,1692.303
2014,1,Others,139.219
2014,1,Other renewables aggregated,99.721
2014,1,Low carbon,4010.411
2014,1,Fossil fuels,1692.303
2014,2,Hydro,3598.26
2014,2,Wind,5.415
2014,2,Solar,0.831
2014,2,Total combustible fuels,1760.355
2014,2,Coal,413.943
2014,2,Oil,152.263
2014,2,Natural gas,1095.052
2014,2,Combustible renewables,99.097
2014,2,Net electricity production,5364.86
2014,2,Total imports,0.029
2014,2,Total exports,81.619
2014,2,Electricity supplied,5283.27
2014,2,Distribution losses,398.35
2014,2,Final consumption,4884.92
2014,2,Electricity trade,81.59
2014,2,Renewables,3703.603
2014,2,Non-renewables,1661.258
2014,2,Others,152.263
2014,2,Other renewables aggregated,99.097
2014,2,Low carbon,3703.603
2014,2,Fossil fuels,1661.258
2014,3,Hydro,4205.913
2014,3,Wind,6.189
2014,3,Solar,0.665
2014,3,Total combustible fuels,1619.748
2014,3,Coal,402.284
2014,3,Oil,141.402
2014,3,Natural gas,975.374
2014,3,Combustible renewables,100.687
2014,3,Net electricity production,5832.515
2014,3,Total imports,0.12
2014,3,Total exports,69.174
2014,3,Electricity supplied,5763.461
2014,3,Distribution losses,620.585
2014,3,Final consumption,5142.876
2014,3,Electricity trade,69.054
2014,3,Renewables,4313.454
2014,3,Non-renewables,1519.06
2014,3,Others,141.402
2014,3,Other renewables aggregated,100.687
2014,3,Low carbon,4313.454
2014,3,Fossil fuels,1519.06
2014,4,Hydro,3615.005
2014,4,Wind,6.694
2014,4,Solar,0.56
2014,4,Total combustible fuels,1930.638
2014,4,Coal,515.133
2014,4,Oil,158.736
2014,4,Natural gas,1157.945
2014,4,Combustible renewables,98.824
2014,4,Net electricity production,5552.898
2014,4,Total imports,0.187
2014,4,Total exports,43.774
2014,4,Electricity supplied,5509.311
2014,4,Distribution losses,470.892
2014,4,Final consumption,5038.419
2014,4,Electricity trade,43.587
2014,4,Renewables,3721.083
2014,4,Non-renewables,1831.814
2014,4,Others,158.736
2014,4,Other renewables aggregated,98.824
2014,4,Low carbon,3721.083
2014,4,Fossil fuels,1831.814
2014,5,Hydro,3632.958
2014,5,Wind,6.211
2014,5,Solar,0.67
2014,5,Total combustible fuels,2092.576
2014,5,Coal,547.723
2014,5,Oil,172.284
2014,5,Natural gas,1274.632
2014,5,Combustible renewables,97.937
2014,5,Net electricity production,5732.416
2014,5,Total imports,0.052
2014,5,Total exports,21.886
2014,5,Electricity supplied,5710.582
2014,5,Distribution losses,600.044
2014,5,Final consumption,5110.537
2014,5,Electricity trade,21.834
2014,5,Renewables,3737.776
2014,5,Non-renewables,1994.639
2014,5,Others,172.284
2014,5,Other renewables aggregated,97.937
2014,5,Low carbon,3737.776
2014,5,Fossil fuels,1994.639
2014,6,Hydro,3513.389
2014,6,Wind,8.085
2014,6,Solar,0.697
2014,6,Total combustible fuels,2021.928
2014,6,Coal,448.719
2014,6,Oil,152.801
2014,6,Natural gas,1309.421
2014,6,Combustible renewables,110.987
2014,6,Net electricity production,5544.099
2014,6,Total imports,8.175
2014,6,Total exports,22.132
2014,6,Electricity supplied,5530.142
2014,6,Distribution losses,419.762
2014,6,Final consumption,5110.381
2014,6,Electricity trade,13.957
2014,6,Renewables,3633.158
2014,6,Non-renewables,1910.941
2014,6,Others,152.801
2014,6,Other renewables aggregated,110.987
2014,6,Low carbon,3633.158
2014,6,Fossil fuels,1910.941
2014,7,Hydro,4105.318
2014,7,Wind,8.713
2014,7,Solar,0.75
2014,7,Total combustible fuels,1802.136
2014,7,Coal,393.836
2014,7,Oil,151.163
2014,7,Natural gas,1146.857
2014,7,Combustible renewables,110.281
2014,7,Net electricity production,5916.918
2014,7,Total imports,13.911
2014,7,Total exports,23.181
2014,7,Electricity supplied,5907.648
2014,7,Distribution losses,615.733
2014,7,Final consumption,5291.915
2014,7,Electricity trade,9.27
2014,7,Renewables,4225.062
2014,7,Non-renewables,1691.856
2014,7,Others,151.163
2014,7,Other renewables aggregated,110.281
2014,7,Low carbon,4225.062
2014,7,Fossil fuels,1691.856
2014,8,Hydro,4058.878
2014,8,Wind,5.438
2014,8,Solar,0.75
2014,8,Total combustible fuels,1755.579
2014,8,Coal,368.25
2014,8,Oil,146.552
2014,8,Natural gas,1130.38
2014,8,Combustible renewables,110.397
2014,8,Net electricity production,5820.646
2014,8,Total imports,20.77
2014,8,Total exports,16.482
2014,8,Electricity supplied,5824.934
2014,8,Distribution losses,428.081
2014,8,Final consumption,5396.853
2014,8,Electricity trade,-4.288
2014,8,Renewables,4175.463
2014,8,Non-renewables,1645.182
2014,8,Others,146.552
2014,8,Other renewables aggregated,110.397
2014,8,Low carbon,4175.463
2014,8,Fossil fuels,1645.182
2014,9,Hydro,4165.149
2014,9,Wind,4.5
2014,9,Solar,0.745
2014,9,Total combustible fuels,1690.116
2014,9,Coal,372.765
2014,9,Oil,166.453
2014,9,Natural gas,1043.316
2014,9,Combustible renewables,107.583
2014,9,Net electricity production,5860.51
2014,9,Total imports,0.053
2014,9,Total exports,84.675
2014,9,Electricity supplied,5775.888
2014,9,Distribution losses,431.423
2014,9,Final consumption,5344.465
2014,9,Electricity trade,84.622
2014,9,Renewables,4277.977
2014,9,Non-renewables,1582.534
2014,9,Others,166.453
2014,9,Other renewables aggregated,107.583
2014,9,Low carbon,4277.977
2014,9,Fossil fuels,1582.534
2014,10,Hydro,4072.668
2014,10,Wind,3.704
2014,10,Solar,0.688
2014,10,Total combustible fuels,1839.451
2014,10,Coal,405.291
2014,10,Oil,206.83
2014,10,Natural gas,1116.552
2014,10,Combustible renewables,110.778
2014,10,Net electricity production,5916.51
2014,10,Total imports,3.642
2014,10,Total exports,64.034
2014,10,Electricity supplied,5856.118
2014,10,Distribution losses,509.17
2014,10,Final consumption,5346.948
2014,10,Electricity trade,60.392
2014,10,Renewables,4187.838
2014,10,Non-renewables,1728.673
2014,10,Others,206.83
2014,10,Other renewables aggregated,110.778
2014,10,Low carbon,4187.838
2014,10,Fossil fuels,1728.673
2014,11,Hydro,4197.121
2014,11,Wind,3.711
2014,11,Solar,0.648
2014,11,Total combustible fuels,1633.897
2014,11,Coal,362.355
2014,11,Oil,169.834
2014,11,Natural gas,996.312
2014,11,Combustible renewables,105.396
2014,11,Net electricity production,5835.377
2014,11,Total imports,0.001
2014,11,Total exports,138.414
2014,11,Electricity supplied,5696.964
2014,11,Distribution losses,315.601
2014,11,Final consumption,5381.362
2014,11,Electricity trade,138.413
2014,11,Renewables,4306.876
2014,11,Non-renewables,1528.501
2014,11,Others,169.834
2014,11,Other renewables aggregated,105.396
2014,11,Low carbon,4306.876
2014,11,Fossil fuels,1528.501
2014,12,Hydro,4180.456
2014,12,Wind,5.174
2014,12,Solar,0.878
2014,12,Total combustible fuels,1761.327
2014,12,Coal,399.853
2014,12,Oil,160.654
2014,12,Natural gas,1088.414
2014,12,Combustible renewables,112.405
2014,12,Net electricity production,5947.836
2014,12,Total imports,0.039
2014,12,Total exports,136.741
2014,12,Electricity supplied,5811.134
2014,12,Distribution losses,504.195
2014,12,Final consumption,5306.939
2014,12,Electricity trade,136.702
2014,12,Renewables,4298.913
2014,12,Non-renewables,1648.921
2014,12,Others,160.654
2014,12,Other renewables aggregated,112.405
2014,12,Low carbon,4298.913
2014,12,Fossil fuels,1648.921
2015,1,Hydro,3931.459
2015,1,Wind,5.562
2015,1,Solar,1.065
2015,1,Total combustible fuels,2250.005
2015,1,Coal,554.069
2015,1,Oil,151.043
2015,1,Natural gas,1442.368
2015,1,Combustible renewables,102.525
2015,1,Net electricity production,6188.091
2015,1,Total imports,0.087
2015,1,Total exports,84.394
2015,1,Electricity supplied,6103.784
2015,1,Distribution losses,544.296
2015,1,Final consumption,5559.489
2015,1,Electricity trade,84.307
2015,1,Renewables,4040.611
2015,1,Non-renewables,2147.48
2015,1,Others,151.043
2015,1,Other renewables aggregated,102.525
2015,1,Low carbon,4040.611
2015,1,Fossil fuels,2147.48
2015,2,Hydro,4082.267
2015,2,Wind,4.848
2015,2,Solar,0.831
2015,2,Total combustible fuels,1848.152
2015,2,Coal,382.665
2015,2,Oil,152.007
2015,2,Natural gas,1210.677
2015,2,Combustible renewables,102.804
